name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week13,week14
117617,1,0,0,0,0,0,0,0,0,0,0,0,0
111380,1,0,0,0,1,0,0,0,0,0,0,0,0
115369,4,0,3,0,0,6,10,24,0,0,0,0,0
110667,2,6,0,0,0,0,0,0,0,0,0,0,0
39388,2,1,0,0,4,1,0,0,0,0,0,0,0
116202,3,0,1,0,0,0,0,0,0,0,0,0,0
115445,1,0,0,0,0,0,0,1,0,0,0,0,0
15703,14,9,4,3,16,12,0,7,3,0,0,0,0
112184,3,0,4,0,0,0,12,0,0,0,0,0,0
36521,4,0,0,0,0,0,0,0,0,0,0,0,0
113312,2,5,5,0,0,0,0,0,0,0,0,0,0
117516,4,0,0,0,0,0,0,0,0,0,0,0,0
119447,1,0,0,11,9,8,0,0,0,0,0,0,0
113413,1,2,0,0,0,0,0,0,0,0,0,0,0
110639,2,2,0,0,0,0,0,0,0,0,0,0,0
117111,1,0,5,0,3,0,11,12,3,0,0,0,0
119503,7,0,1,10,0,0,12,16,10,0,0,0,0
105390,1,0,0,0,0,0,0,1,0,0,0,0,0
116421,2,0,0,0,0,0,0,0,0,0,0,0,0
103500,1,0,0,0,0,0,0,0,0,0,0,0,0
118071,1,0,0,1,2,1,2,0,0,0,0,0,0
118070,1,0,0,3,2,1,2,0,1,0,0,0,0
117409,2,3,6,3,3,6,0,7,7,0,0,0,0
117448,1,1,1,6,3,4,0,13,1,0,0,0,0
113930,1,0,0,0,0,0,0,0,0,0,0,0,0
111878,1,0,0,4,5,8,0,0,4,0,0,0,0
111545,1,0,1,1,0,0,2,14,3,0,0,0,0
16572,4,0,3,5,5,17,0,4,3,0,0,0,0
105165,1,0,2,0,1,0,0,0,0,0,0,0,0
120379,1,0,0,0,0,0,0,0,0,0,0,0,0
104503,3,0,0,8,0,2,1,0,0,0,0,0,0
116256,1,0,2,1,0,0,9,1,0,0,0,0,0
110636,7,1,0,0,0,0,0,0,0,0,0,0,0
16319,4,0,7,4,8,16,0,4,4,1,0,0,0
16501,3,0,0,4,15,10,0,4,4,0,0,0,0
120558,1,0,0,0,0,0,0,0,0,0,0,0,0
120554,1,0,0,0,0,0,0,0,0,0,0,0,0
117779,1,1,1,0,2,0,11,0,0,0,0,0,0
524,1,0,0,1,0,0,30,0,1,0,0,0,0
113311,1,0,0,0,2,0,0,0,0,0,0,0,0
17500,2,0,0,0,0,0,0,0,0,0,0,0,0
106324,2,0,2,1,0,1,1,5,1,0,0,0,0
120922,1,1,0,0,5,5,3,0,0,0,0,0,0
115743,1,3,2,11,4,12,1,4,2,0,0,0,0
117518,1,2,6,1,3,0,24,0,0,0,0,0,0
97949,3,0,0,0,0,0,0,0,0,0,0,0,0
112259,1,0,0,0,0,0,0,0,0,0,0,0,0
